PostCode,latitude,longitude
M1,53.48736103,-2.250508
M11,53.48914272,-2.212620913
M12,53.48221566,-2.228657
M13,53.47233634,-2.236986
M14,53.4601355,-2.245448
M15,53.47417659,-2.268934891
M16,53.46873796,-2.29253122
M17,53.48119863,-2.365595482
M18,53.46986631,-2.218744398
M19,53.44995836,-2.2188915
M2,53.48304,-2.248875971
M20,53.44072161,-2.259900597
M21,53.44962495,-2.292076371
M22,53.41210157,-2.283119115
M23,53.41531103,-2.316409
M24,53.58129678,-2.250455551
M25,53.55369465,-2.29737723
M26,53.593592,-2.377330499
M27,53.533702,-2.365322609
M28,53.53812217,-2.441233164
M29,53.52879235,-2.482498706
M3,53.49604,-2.265529
M30,53.497142,-2.421146746
M31,53.44831976,-2.449193072
M32,53.463786,-2.338692981
M33,53.43372657,-2.364221703
M34,53.48370224,-2.158051028
M35,53.51766174,-2.176375564
M38,53.539995,-2.440683827
M4,53.49279246,-2.243386
M40,53.52686493,-2.229197868
M41,53.47352445,-2.40743
M43,53.498004,-2.169397092
M44,53.46254693,-2.459411814
M45,53.56002521,-2.326071
M46,53.53841148,-2.519606553
M5,53.48875244,-2.329791954
M50,53.4848109,-2.328495
M6,53.50687796,-2.329261367
M60,53.49218716,-2.255657148
M61,53.487362,-2.244556669
M7,53.51787409,-2.289520024
M8,53.531631,-2.255467765
M9,53.53914703,-2.24728189
M90,53.39723188,-2.293956106
M99,53.48736103,-2.242689
ME1,51.39076653,0.490523181
